adm1_name,adm2_name,adm2_code,lon,lat
Tlaxcala,Xaltocan,MX29040,-98.23956463983002,19.430210086385934
Puebla,Xayacatlán de Bravo,MX21196,-97.94651161967113,18.27825984400516
Guanajuato,Xichú,MX11045,-99.97851101276291,21.35682996749348
Veracruz de Ignacio de la Llave,Xico,MX30092,-97.05834349447015,19.44782718235575
Tlaxcala,Xicohtzinco,MX29042,-98.24133782047855,19.17118711905764
Tamaulipas,Xicoténcatl,MX28043,-98.93152510756343,23.005794775482492
Puebla,Xicotepec,MX21197,-97.90261032083089,20.32664253222342
Puebla,Xicotlán,MX21198,-98.60058350291028,18.095641974397154
San Luis Potosí,Xilitla,MX24054,-99.02540750439331,21.385918034337596
Puebla,Xiutetelco,MX21199,-97.35991401952273,19.722563910186558
Yucatán,Xocchel,MX31103,-89.12382972985816,20.805208552187203
Puebla,Xochiapulco,MX21200,-97.64678189898612,19.847961040368315
Hidalgo,Xochiatipan,MX13078,-98.28808847929098,20.85787562617416
Hidalgo,Xochicoatlán,MX13079,-98.64124870604807,20.791453475788416
Guerrero,Xochihuehuetlán,MX12070,-98.50930222062343,17.904531425167338
Puebla,Xochiltepec,MX21201,-98.33696300644479,18.658106476643198
Distrito Federal,Xochimilco,MX09013,-99.09036248060661,19.245152440605512
Guerrero,Xochistlahuaca,MX12071,-98.15725830558758,16.869495980984507
Morelos,Xochitepec,MX17028,-99.23528540496622,18.761903796878865
Puebla,Xochitlán de Vicente Suárez,MX21202,-97.65361007378108,19.938893787849864
Puebla,Xochitlán Todos Santos,MX21203,-97.77793022821618,18.695819636899948
México,Xonacatlán,MX15115,-99.46759506280608,19.43695532185694
Veracruz de Ignacio de la Llave,Xoxocotla,MX30195,-97.16357946234389,18.632677025634386
Hidalgo,Yahualica,MX13080,-98.38351808596028,20.916262220660872
Jalisco,Yahualica de González Gallo,MX14118,-102.93367352692064,21.13797614449097
Chiapas,Yajalón,MX07109,-92.32584203469524,17.185568117132686
Veracruz de Ignacio de la Llave,Yanga,MX30196,-96.79963983530499,18.82648138244651
Puebla,Yaonáhuac,MX21204,-97.44247392250354,19.919628954393367
Tlaxcala,Yauhquemehcan,MX29043,-98.1779113769113,19.40224689908404
Morelos,Yautepec,MX17029,-99.05092741853663,18.86996204791127
Yucatán,Yaxcabá,MX31104,-88.76971633768372,20.48081891635717
Oaxaca,Yaxe,MX20561,-96.44799568408231,16.708652070740392
Yucatán,Yaxkukul,MX31105,-89.44381948217023,21.057262054908445
Morelos,Yecapixtla,MX17030,-98.85800407102319,18.852525513723865
Sonora,Yécora,MX26069,-108.96525179988882,28.41995793008866
Veracruz de Ignacio de la Llave,Yecuatla,MX30197,-96.7734131453678,19.84817629746661
Puebla,Yehualtepec,MX21205,-97.67810527316989,18.767527493266467
Yucatán,Yobaín,MX31106,-89.1203927331121,21.288192952667842
Oaxaca,Yogana,MX20563,-96.79781823225505,16.442357667761947
Michoacán de Ocampo,Yurécuaro,MX16106,-102.21951542985771,20.299275390452518
Guanajuato,Yuriria,MX11046,-101.22551268675784,20.1831866819092
Oaxaca,Yutanduchi de Guerrero,MX20564,-97.2964401137506,17.077319836671474
Puebla,Zacapala,MX21206,-98.0524512208222,18.580120293347044
Puebla,Zacapoaxtla,MX21207,-97.58126769880633,19.854399756404725
Michoacán de Ocampo,Zacapu,MX16107,-101.82787324225836,19.824166020061554
Zacatecas,Zacatecas,MX32056,-102.67808484368187,22.735766184699795
Tlaxcala,Zacatelco,MX29044,-98.26038383019151,19.193850128754516
Morelos,Zacatepec,MX17031,-99.20679590459422,18.654707560611946
Puebla,Zacatlán,MX21208,-97.99902170937375,19.9649527161117
México,Zacazonapan,MX15116,-100.25610904620098,19.0608368298467
Jalisco,Zacoalco de Torres,MX14119,-103.56806739103145,20.235548338568588
México,Zacualpan,MX15117,-99.81280029369157,18.715851051793493
Morelos,Zacualpan,MX17032,-98.75380104672139,18.806872858081196
Veracruz de Ignacio de la Llave,Zacualpan,MX30198,-98.34405535817348,20.495468994582478
Hidalgo,Zacualtipán de Ángeles,MX13081,-98.58671898097774,20.650761841765398
Michoacán de Ocampo,Zamora,MX16108,-102.26407219140899,20.03299374261096
Jalisco,Zapopan,MX14120,-103.49418413765943,20.794994609506457
Jalisco,Zapotiltic,MX14121,-103.34580096663483,19.62164542777949
Puebla,Zapotitlán,MX21209,-97.52188938562527,18.277456999772312
Puebla,Zapotitlán de Méndez,MX21210,-97.69260928119826,20.004150858657713
Jalisco,Zapotitlán de Vadillo,MX14122,-103.75833254299876,19.515587806005033
Oaxaca,Zapotitlán Lagunas,MX20567,-98.39695620281545,17.776192369730296
Oaxaca,Zapotitlán Palmas,MX20568,-97.83488915336413,17.882514392030444
Guerrero,Zapotitlán Tablas,MX12072,-98.82950380187117,17.324608153830507
Hidalgo,Zapotlán de Juárez,MX13082,-98.85891705356542,19.98941681403436
Jalisco,Zapotlán del Rey,MX14123,-102.92497097006198,20.46087584030642
Jalisco,Zapotlán el Grande,MX14023,-103.51033701278415,19.71078932818314
Jalisco,Zapotlanejo,MX14124,-103.048852328713,20.636098012632445
Coahuila de Zaragoza,Zaragoza,MX05038,-101.3953675020715,28.812795671999638
Puebla,Zaragoza,MX21211,-97.56857174337915,19.747266199589284
San Luis Potosí,Zaragoza,MX24055,-100.67672103726599,22.008218470275487
Veracruz de Ignacio de la Llave,Zaragoza,MX30199,-94.63867570867444,17.950478721744222
Puebla,Zautla,MX21212,-97.6826873699712,19.71431494514781
Hidalgo,Zempoala,MX13083,-98.67234243273384,19.923149330238846
Veracruz de Ignacio de la Llave,Zentla,MX30200,-96.73383196547344,19.06717280910472
Guerrero,Zihuatanejo de Azueta,MX12038,-101.43395881088983,17.820384679096662
Puebla,Zihuateutla,MX21213,-97.79828396310585,20.299111273358168
Tlaxcala,Ziltlaltépec de Trinidad Sánchez Santos,MX29037,-97.9267386008646,19.21168518159598
Hidalgo,Zimapán,MX13084,-99.36571593589902,20.75295428640943
Oaxaca,Zimatlán de Álvarez,MX20570,-97.03465776818531,16.78029206059277
Chiapas,Zinacantán,MX07111,-92.78198094390046,16.72192378969601
México,Zinacantepec,MX15118,-99.79769874888926,19.21544271851103
Puebla,Zinacatepec,MX21214,-97.22247235964288,18.327440183081567
Michoacán de Ocampo,Zináparo,MX16109,-102.0115487531616,20.182494836032884
Michoacán de Ocampo,Zinapécuaro,MX16110,-100.7692897753455,19.870739871111944
Michoacán de Ocampo,Ziracuaretiro,MX16111,-101.90904903841182,19.428539369445385
Guerrero,Zirándaro,MX12073,-101.21823349375198,18.345020047310793
Michoacán de Ocampo,Zitácuaro,MX16112,-100.33793811625692,19.438256049804863
Guerrero,Zitlala,MX12074,-99.18510288755179,17.74960699874228
Veracruz de Ignacio de la Llave,Zongolica,MX30201,-96.92549111859583,18.64929499507388
Puebla,Zongozotla,MX21215,-97.76052463025665,19.976542395437697
Veracruz de Ignacio de la Llave,Zontecomatlán de López y Fuentes,MX30202,-98.30312225608724,20.73433490738954
Puebla,Zoquiapan,MX21216,-97.56683487422798,20.03338817477014
Puebla,Zoquitlán,MX21217,-96.97865488158611,18.377131867481115
Veracruz de Ignacio de la Llave,Zozocolco de Hidalgo,MX30203,-97.5585730935414,20.133940493492922
México,Zumpahuacán,MX15119,-99.55409714713986,18.800148439631776
México,Zumpango,MX15120,-99.07182393097872,19.80912123970492
