adm2_code,entidad,municipio,poverty_rate
MX08029,Chihuahua,Guadalupe y Calvo,75.8381971291
MX08030,Chihuahua,Guazapares,66.6339106426
MX08031,Chihuahua,Guerrero,42.4400400442
MX08032,Chihuahua,Hidalgo del Parral,31.1716610387
MX08033,Chihuahua,Huejotitán,37.22721598
MX08034,Chihuahua,Ignacio Zaragoza,27.5461523322
MX08035,Chihuahua,Janos,35.1168998547
MX08036,Chihuahua,Jiménez,38.0255905034
MX08037,Chihuahua,Juárez,23.7043654665
MX08038,Chihuahua,Julimes,21.6396210873
MX08039,Chihuahua,López,21.039225675
MX08040,Chihuahua,Madera,42.6848618119
MX08041,Chihuahua,Maguarichi,75.858861267
MX08042,Chihuahua,Manuel Benavides,22.5090909091
MX08043,Chihuahua,Matachí,29.0904654655
MX08044,Chihuahua,Matamoros,29.0237115896
MX08045,Chihuahua,Meoqui,30.8311227774
MX08046,Chihuahua,Morelos,77.2625089606
MX08047,Chihuahua,Moris,61.4989652794
MX08048,Chihuahua,Namiquipa,17.563510319
MX08049,Chihuahua,Nonoava,42.91211226
MX08050,Chihuahua,Nuevo Casas Grandes,29.1516762905
MX08051,Chihuahua,Ocampo,40.2540307224
MX08052,Chihuahua,Ojinaga,29.0389398084
MX08053,Chihuahua,Praxedis G. Guerrero,13.7669586474
MX08054,Chihuahua,Riva Palacio,9.8739395546
MX08055,Chihuahua,Rosales,26.8488292231
MX08056,Chihuahua,Rosario,33.0845139228
MX08057,Chihuahua,San Francisco de Borja,28.9334591789
MX08058,Chihuahua,San Francisco de Conchos,13.3251815055
MX08059,Chihuahua,San Francisco del Oro,24.5101365329
MX08060,Chihuahua,Santa Bárbara,26.846305379
MX08061,Chihuahua,Satevó,32.7253668763
MX08062,Chihuahua,Saucillo,20.6410295571
MX08063,Chihuahua,Temósachic,31.877394636
MX08064,Chihuahua,El Tule,38.1882519462
MX08065,Chihuahua,Urique,59.3893454916
MX08066,Chihuahua,Uruachi,79.2792736381
MX08067,Chihuahua,Valle de Zaragoza,31.2218690401
MX09002,Ciudad de México,Azcapotzalco,24.1860766833
MX09003,Ciudad de México,Coyoacán,27.0770998362
MX09004,Ciudad de México,Cuajimalpa de Morelos,32.4790606323
MX09005,Ciudad de México,Gustavo A. Madero,33.7754664936
MX09006,Ciudad de México,Iztacalco,25.2020203849
MX09007,Ciudad de México,Iztapalapa,43.8873067404
MX09008,Ciudad de México,La Magdalena Contreras,42.5021709882
MX09009,Ciudad de México,Milpa Alta,54.6875638565
MX09010,Ciudad de México,Álvaro Obregón,37.69131992
MX09011,Ciudad de México,Tláhuac,42.40951008
MX09012,Ciudad de México,Tlalpan,39.6968756649
MX09013,Ciudad de México,Xochimilco,48.1913874998
MX09014,Ciudad de México,Benito Juárez,7.8838259079
MX09015,Ciudad de México,Cuauhtémoc,20.8925468273
MX09016,Ciudad de México,Miguel Hidalgo,13.4686475807
MX09017,Ciudad de México,Venustiano Carranza,29.9897018159
MX10001,Durango,Canatlán,43.2208691391
MX10002,Durango,Canelas,67.4155751369
MX10003,Durango,Coneto de Comonfort,64.8860025221
MX10004,Durango,Cuencamé,35.6290021322
MX10005,Durango,Durango,32.1046854266
MX10006,Durango,General Simón Bolívar,40.1525085586
MX10007,Durango,Gómez Palacio,28.8712947155
MX10008,Durango,Guadalupe Victoria,45.8670744551
MX10009,Durango,Guanaceví,53.2150660701
MX10010,Durango,Hidalgo,39.9692473698
MX10011,Durango,Indé,44.9590743518
MX10012,Durango,Lerdo,29.5091274975
MX10013,Durango,Mapimí,36.4359539623
MX10014,Durango,Mezquital,91.0980847624
MX10015,Durango,Nazas,47.8186943984
MX10016,Durango,Nombre de Dios,42.3846066134
MX10017,Durango,Ocampo,46.3073100562
MX10018,Durango,El Oro,37.0776358571
MX10019,Durango,Otáez,79.9834288052
MX10020,Durango,Pánuco de Coronado,50.5902799225
MX10021,Durango,Peñón Blanco,52.9923862433
MX10022,Durango,Poanas,50.0833202898
MX10023,Durango,Pueblo Nuevo,54.953902982
MX10024,Durango,Rodeo,46.6256147892
MX10025,Durango,San Bernardo,44.0803928701
MX10026,Durango,San Dimas,61.2106510575
MX10027,Durango,San Juan de Guadalupe,59.4346651226
MX10028,Durango,San Juan del Río,53.9541615465
MX10029,Durango,San Luis del Cordero,53.5485770363
MX10030,Durango,San Pedro del Gallo,50.173940544
MX10031,Durango,Santa Clara,59.7116425993
MX10032,Durango,Santiago Papasquiaro,42.8764064276
MX10033,Durango,Súchil,61.4641968077
MX10034,Durango,Tamazula,74.4228520746
MX10035,Durango,Tepehuanes,58.9196357926
MX10036,Durango,Tlahualilo,32.2918750512
MX10037,Durango,Topia,75.2774794521
MX10038,Durango,Vicente Guerrero,44.7383811321
MX10039,Durango,Nuevo Ideal,43.5870490062
MX11001,Guanajuato,Abasolo,47.7769037516
MX11002,Guanajuato,Acámbaro,51.9105483996
MX11003,Guanajuato,San Miguel de Allende,43.466392432
MX11004,Guanajuato,Apaseo el Alto,50.7421527587
MX11005,Guanajuato,Apaseo el Grande,41.1559721421
MX11006,Guanajuato,Atarjea,68.7772435897
MX11007,Guanajuato,Celaya,40.4969922484
MX11008,Guanajuato,Manuel Doblado,50.1558132054
MX11009,Guanajuato,Comonfort,52.051214845
MX11010,Guanajuato,Coroneo,52.4429024452
MX11011,Guanajuato,Cortazar,40.3287381244
MX11012,Guanajuato,Cuerámaro,51.8302713224
MX11013,Guanajuato,Doctor Mora,39.3661003641
MX11014,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,53.0576928935
MX11015,Guanajuato,Guanajuato,33.4334983247
MX11016,Guanajuato,Huanímaro,49.4217310454
MX11017,Guanajuato,Irapuato,35.5083892839
MX11018,Guanajuato,Jaral del Progreso,54.972117575
MX11019,Guanajuato,Jerécuaro,58.6753180256
MX11020,Guanajuato,León,45.8862788678
MX11021,Guanajuato,Moroleón,46.8772382159
MX11022,Guanajuato,Ocampo,51.2961871497
MX11023,Guanajuato,Pénjamo,51.0809791922
MX11024,Guanajuato,Pueblo Nuevo,43.2889357007
MX11025,Guanajuato,Purísima del Rincón,42.8597501131
MX11026,Guanajuato,Romita,49.9083178826
MX11027,Guanajuato,Salamanca,37.0841033594
MX11028,Guanajuato,Salvatierra,50.9652385795
MX11029,Guanajuato,San Diego de la Unión,39.6505511341
MX11030,Guanajuato,San Felipe,51.9080123915
MX11031,Guanajuato,San Francisco del Rincón,47.3035075202
MX11032,Guanajuato,San José Iturbide,24.2425907719
MX11033,Guanajuato,San Luis de la Paz,51.1327299329
MX11034,Guanajuato,Santa Catarina,47.1809352518
MX11035,Guanajuato,Santa Cruz de Juventino Rosas,60.1925653551
MX11036,Guanajuato,Santiago Maravatío,53.9447824764
MX11037,Guanajuato,Silao,43.2834822102
MX11038,Guanajuato,Tarandacuao,50.8071674708
MX11039,Guanajuato,Tarimoro,49.947897717
MX11040,Guanajuato,Tierra Blanca,54.0475949598
MX11041,Guanajuato,Uriangato,55.3282072222
MX11042,Guanajuato,Valle de Santiago,46.9989815063
MX11043,Guanajuato,Victoria,49.6300207977
MX11044,Guanajuato,Villagrán,36.9578894535
MX11045,Guanajuato,Xichú,61.3794007058
MX11046,Guanajuato,Yuriria,58.5638603135
MX12001,Guerrero,Acapulco de Juárez,52.1359912608
MX12002,Guerrero,Ahuacuotzingo,93.1797479957
MX12003,Guerrero,Ajuchitlán del Progreso,64.6941021895
MX12004,Guerrero,Alcozauca de Guerrero,94.7715614363
MX12005,Guerrero,Alpoyeca,70.5298877578
MX12006,Guerrero,Apaxtla,78.2311059405
MX12007,Guerrero,Arcelia,63.928045669
MX12008,Guerrero,Atenango del Río,73.87734375
MX12009,Guerrero,Atlamajalcingo del Monte,95.3024986709
MX12010,Guerrero,Atlixtac,96.3142236158
MX12011,Guerrero,Atoyac de Álvarez,52.8708642603
MX12012,Guerrero,Ayutla de los Libres,75.8638427938
MX12013,Guerrero,Azoyú,56.5330316237
MX12014,Guerrero,Benito Juárez,27.2434161646
MX12015,Guerrero,Buenavista de Cuéllar,52.4733761464
MX12016,Guerrero,Coahuayutla de José María Izazaga,66.4577287266
MX12017,Guerrero,Cocula,56.5402685295
MX12018,Guerrero,Copala,66.5003493326
MX12019,Guerrero,Copalillo,94.1905225576
MX12020,Guerrero,Copanatoyac,95.3424476087
MX12021,Guerrero,Coyuca de Benítez,65.5420846613
MX12022,Guerrero,Coyuca de Catalán,63.6111451477
MX12023,Guerrero,Cuajinicuilapa,62.602624108
MX12024,Guerrero,Cualác,82.204616999
MX12025,Guerrero,Cuautepec,76.2119977897
MX12026,Guerrero,Cuetzala del Progreso,79.0539581549
MX12027,Guerrero,Cutzamala de Pinzón,56.3510800382
MX12028,Guerrero,Chilapa de Álvarez,75.2433674075
MX12029,Guerrero,Chilpancingo de los Bravo,55.5085628678
MX12030,Guerrero,Florencio Villarreal,54.2708065626
MX12031,Guerrero,General Canuto A. Neri,83.8994530245
MX12032,Guerrero,General Heliodoro Castillo,94.5706146337
MX12033,Guerrero,Huamuxtitlán,73.9119324747
MX12034,Guerrero,Huitzuco de los Figueroa,64.2085686577
MX12035,Guerrero,Iguala de la Independencia,54.4652071868
MX12036,Guerrero,Igualapa,76.0614434749
MX12037,Guerrero,Ixcateopan de Cuauhtémoc,73.6052760937
MX12038,Guerrero,Zihuatanejo de Azueta,45.8622274579
MX12039,Guerrero,Juan R. Escudero,74.3843575603
MX12040,Guerrero,Leonardo Bravo,87.9427945776
MX12041,Guerrero,Malinaltepec,88.4979004392
MX12042,Guerrero,Mártir de Cuilapan,85.5500020556
MX12043,Guerrero,Metlatónoc,97.7173591723
MX12044,Guerrero,Mochitlán,69.0568149236
MX12045,Guerrero,Olinalá,88.6766735982
MX12046,Guerrero,Ometepec,68.1864862091
MX12047,Guerrero,Pedro Ascencio Alquisiras,89.5846131764
MX12048,Guerrero,Petatlán,54.9704169845
MX12049,Guerrero,Pilcaya,62.144114273
MX12050,Guerrero,Pungarabato,52.6685508311
MX12051,Guerrero,Quechultenango,94.1712001754
MX12052,Guerrero,San Luis Acatlán,86.0257597552
MX12053,Guerrero,San Marcos,60.4808518133
MX12054,Guerrero,San Miguel Totolapan,84.2861480076
MX12055,Guerrero,Taxco de Alarcón,74.975513041
MX12056,Guerrero,Tecoanapa,82.6756693921
MX12057,Guerrero,Técpan de Galeana,37.8141368661
MX12058,Guerrero,Teloloapan,63.9163952408
MX12059,Guerrero,Tepecoacuilco de Trujano,75.0735859729
MX12060,Guerrero,Tetipac,79.2651029582
MX12061,Guerrero,Tixtla de Guerrero,57.8604033373
MX12062,Guerrero,Tlacoachistlahuaca,83.1127819549
MX12063,Guerrero,Tlacoapa,92.0353955375
MX12064,Guerrero,Tlalchapa,46.5862093175
MX12065,Guerrero,Tlalixtaquilla de Maldonado,77.8639978791
MX12066,Guerrero,Tlapa de Comonfort,71.7702285765
MX12067,Guerrero,Tlapehuala,68.5524221468
MX12068,Guerrero,La Unión de Isidoro Montes de Oca,43.5034405169
MX12069,Guerrero,Xalpatláhuac,93.2117477049
MX12070,Guerrero,Xochihuehuetlán,74.6508609612
MX12071,Guerrero,Xochistlahuaca,87.4823098264
MX12072,Guerrero,Zapotitlán Tablas,91.3698375085
MX12073,Guerrero,Zirándaro,71.4951145308
MX12074,Guerrero,Zitlala,89.2433367149
MX12075,Guerrero,Eduardo Neri,65.5870909857
MX12076,Guerrero,Acatepec,96.0278210266
MX12077,Guerrero,Marquelia,59.7126562496
MX12078,Guerrero,Cochoapa el Grande,99.4415671285
MX12079,Guerrero,José Joaquin de Herrera,94.9679543945
MX12080,Guerrero,Juchitán,65.7284794851
MX12081,Guerrero,Iliatenco,80.2367073714
MX13001,Hidalgo,Acatlán,39.285885276
MX13002,Hidalgo,Acaxochitlán,80.0861288661
MX13003,Hidalgo,Actopan,48.0174081307
MX13004,Hidalgo,Agua Blanca de Iturbide,60.0017195424
MX13005,Hidalgo,Ajacuba,48.0655003869
MX13006,Hidalgo,Alfajayucan,48.5607469323
MX13007,Hidalgo,Almoloya,50.2364502184
MX13008,Hidalgo,Apan,41.3622107788
MX13009,Hidalgo,El Arenal,48.8853589472
MX13010,Hidalgo,Atitalaquia,28.9646406091
MX13011,Hidalgo,Atlapexco,65.1550387277
MX13012,Hidalgo,Atotonilco el Grande,52.423565722
MX13013,Hidalgo,Atotonilco de Tula,32.8553683272
MX13014,Hidalgo,Calnali,66.147880475
MX13015,Hidalgo,Cardonal,56.4982459978
MX13016,Hidalgo,Cuautepec de Hinojosa,67.3221763878
MX13017,Hidalgo,Chapantongo,49.262296937
MX13018,Hidalgo,Chapulhuacán,51.3653032582
MX13019,Hidalgo,Chilcuautla,48.8535488621
MX13020,Hidalgo,Eloxochitlán,52.9764890282
MX13021,Hidalgo,Emiliano Zapata,37.8059607728
MX13022,Hidalgo,Epazoyucan,36.8188713585
