adm1_name,adm2_name,adm2_code,pop_total,pop_wra
Coahuila de Zaragoza,Juárez,MX05015,1662,415
Coahuila de Zaragoza,Lamadrid,MX05016,1833,458
Coahuila de Zaragoza,Matamoros,MX05017,125345,31336
Coahuila de Zaragoza,Monclova,MX05018,250011,62503
Coahuila de Zaragoza,Morelos,MX05019,8300,2075
Coahuila de Zaragoza,Múzquiz,MX05020,74229,18557
Coahuila de Zaragoza,Nadadores,MX05021,6953,1738
Coahuila de Zaragoza,Nava,MX05022,35360,8840
Coahuila de Zaragoza,Ocampo,MX05023,10117,2529
Coahuila de Zaragoza,Parras,MX05024,46380,11595
Coahuila de Zaragoza,Piedras Negras,MX05025,185146,46287
Coahuila de Zaragoza,Progreso,MX05026,3347,837
Coahuila de Zaragoza,Ramos Arizpe,MX05027,129525,32381
Coahuila de Zaragoza,Sabinas,MX05028,68154,17038
Coahuila de Zaragoza,Sacramento,MX05029,2590,648
Coahuila de Zaragoza,Saltillo,MX05030,920134,230034
Coahuila de Zaragoza,San Buenaventura,MX05031,25895,6474
Coahuila de Zaragoza,San Juan de Sabinas,MX05032,43996,10999
Coahuila de Zaragoza,San Pedro,MX05033,105691,26423
Coahuila de Zaragoza,Sierra Mojada,MX05034,7118,1779
Coahuila de Zaragoza,Torreón,MX05035,753104,188276
Coahuila de Zaragoza,Viesca,MX05036,21481,5370
Coahuila de Zaragoza,Villa Unión,MX05037,6486,1621
Coahuila de Zaragoza,Zaragoza,MX05038,13770,3442
Colima,Armería,MX06001,28828,7207
Colima,Colima,MX06002,165623,41406
Colima,Comala,MX06003,23097,5774
Colima,Coquimatlán,MX06004,21873,5468
Colima,Cuauhtémoc,MX06005,32598,8149
Colima,Ixtlahuacán,MX06006,5855,1464
Colima,Manzanillo,MX06007,199319,49830
Colima,Minatitlán,MX06008,10609,2652
Colima,Tecomán,MX06009,121567,30392
Colima,Villa de Álvarez,MX06010,158329,39582
Distrito Federal,Azcapotzalco,MX09002,459824,114956
Distrito Federal,Benito Juárez,MX09014,461103,115276
Distrito Federal,Coyoacán,MX09003,649615,162404
Distrito Federal,Cuajimalpa de Morelos,MX09004,237292,59323
Distrito Federal,Cuauhtémoc,MX09015,584470,146118
Distrito Federal,Gustavo A. Madero,MX09005,1243044,310761
Distrito Federal,Iztacalco,MX09006,440738,110184
Distrito Federal,Iztapalapa,MX09007,1948591,487148
Distrito Federal,La Magdalena Contreras,MX09008,268965,67241
Distrito Federal,Miguel Hidalgo,MX09016,443546,110887
Distrito Federal,Milpa Alta,MX09009,162419,40605
Distrito Federal,Tlalpan,MX09012,739663,184916
Distrito Federal,Tláhuac,MX09011,423452,105863
Distrito Federal,Venustiano Carranza,MX09017,474705,118676
Distrito Federal,Xochimilco,MX09013,471705,117926
Distrito Federal,Álvaro Obregón,MX09010,807751,201938
Durango,Canatlán,MX10001,32838,8209
Durango,Canelas,MX10002,4634,1158
Durango,Coneto de Comonfort,MX10003,4271,1068
Durango,Cuencamé,MX10004,36590,9148
Durango,Durango,MX10005,719684,179921
Durango,El Oro,MX10018,10778,2695
Durango,General Simón Bolívar,MX10006,10587,2647
Durango,Guadalupe Victoria,MX10008,38279,9570
Durango,Guanaceví,MX10009,10321,2580
Durango,Gómez Palacio,MX10007,393752,98438
Durango,Hidalgo,MX10010,3985,996
Durango,Indé,MX10011,4914,1229
Durango,Lerdo,MX10012,174092,43523
Durango,Mapimí,MX10013,28362,7091
Durango,Mezquital,MX10014,51705,12926
Durango,Nazas,MX10015,13422,3355
Durango,Nombre de Dios,MX10016,20066,5017
Durango,Nuevo Ideal,MX10039,29336,7334
Durango,Ocampo,MX10017,8308,2077
Durango,Otáez,MX10019,5244,1311
Durango,Peñón Blanco,MX10021,11603,2901
Durango,Poanas,MX10022,26767,6692
Durango,Pueblo Nuevo,MX10023,53987,13497
Durango,Pánuco de Coronado,MX10020,13139,3285
Durango,Rodeo,MX10024,13358,3339
Durango,San Bernardo,MX10025,2914,729
Durango,San Dimas,MX10026,18556,4639
Durango,San Juan de Guadalupe,MX10027,5457,1364
Durango,San Juan del Río,MX10028,12531,3133
Durango,San Luis del Cordero,MX10029,2181,545
Durango,San Pedro del Gallo,MX10030,1696,424
Durango,Santa Clara,MX10031,7005,1751
Durango,Santiago Papasquiaro,MX10032,51709,12927
Durango,Súchil,MX10033,7306,1827
Durango,Tamazula,MX10034,27849,6962
Durango,Tepehuanes,MX10035,11878,2969
Durango,Tlahualilo,MX10036,22318,5580
Durango,Topia,MX10037,9868,2467
Durango,Vicente Guerrero,MX10038,24680,6170
Guanajuato,Abasolo,MX11001,97670,24418
Guanajuato,Acámbaro,MX11002,113240,28310
Guanajuato,Apaseo el Alto,MX11004,66961,16740
Guanajuato,Apaseo el Grande,MX11005,119090,29773
Guanajuato,Atarjea,MX11006,5532,1383
Guanajuato,Celaya,MX11007,545655,136414
Guanajuato,Comonfort,MX11009,86578,21644
Guanajuato,Coroneo,MX11010,11659,2915
Guanajuato,Cortazar,MX11011,102961,25740
Guanajuato,Cuerámaro,MX11012,32398,8099
Guanajuato,Doctor Mora,MX11013,29368,7342
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,MX11014,171802,42951
Guanajuato,Guanajuato,MX11015,203803,50951
Guanajuato,Huanímaro,MX11016,22519,5630
Guanajuato,Irapuato,MX11017,622020,155505
Guanajuato,Jaral del Progreso,MX11018,40748,10187
Guanajuato,Jerécuaro,MX11019,51899,12975
Guanajuato,León,MX11020,1803246,450812
