adm2_code,adm2_name,entidad,facilities
MX10009,Guanaceví,Durango,3
MX10010,Hidalgo,Durango,3
MX10011,Indé,Durango,3
MX10012,Lerdo,Durango,35
MX10013,Mapimí,Durango,13
MX10014,Mezquital,Durango,25
MX10015,Nazas,Durango,8
MX10016,Nombre de Dios,Durango,10
MX10017,Ocampo,Durango,7
MX10018,El Oro,Durango,2
MX10019,Otáez,Durango,3
MX10020,Pánuco de Coronado,Durango,4
MX10021,Peñón Blanco,Durango,1
MX10022,Poanas,Durango,6
MX10023,Pueblo Nuevo,Durango,13
MX10024,Rodeo,Durango,4
MX10025,San Bernardo,Durango,4
MX10026,San Dimas,Durango,18
MX10027,San Juan de Guadalupe,Durango,6
MX10028,San Juan del Río,Durango,5
MX10029,San Luis del Cordero,Durango,1
MX10030,San Pedro del Gallo,Durango,1
MX10031,Santa Clara,Durango,2
MX10032,Santiago Papasquiaro,Durango,20
MX10033,Súchil,Durango,3
MX10034,Tamazula,Durango,23
MX10035,Tepehuanes,Durango,9
MX10036,Tlahualilo,Durango,9
MX10037,Topia,Durango,3
MX10038,Vicente Guerrero,Durango,8
MX10039,Nuevo Ideal,Durango,8
MX11001,Abasolo,Guanajuato,21
MX11002,Acámbaro,Guanajuato,43
MX11003,San Miguel de Allende,Guanajuato,47
MX11004,Apaseo el Alto,Guanajuato,20
MX11005,Apaseo el Grande,Guanajuato,28
MX11006,Atarjea,Guanajuato,6
MX11007,Celaya,Guanajuato,121
MX11008,Manuel Doblado,Guanajuato,19
MX11009,Comonfort,Guanajuato,19
MX11010,Coroneo,Guanajuato,3
MX11011,Cortazar,Guanajuato,30
MX11012,Cuerámaro,Guanajuato,11
MX11013,Doctor Mora,Guanajuato,8
MX11014,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,44
MX11015,Guanajuato,Guanajuato,52
MX11016,Huanímaro,Guanajuato,9
MX11017,Irapuato,Guanajuato,136
MX11018,Jaral del Progreso,Guanajuato,14
MX11019,Jerécuaro,Guanajuato,23
MX11020,León,Guanajuato,312
MX11021,Moroleón,Guanajuato,25
MX11022,Ocampo,Guanajuato,10
MX11023,Pénjamo,Guanajuato,57
MX11024,Pueblo Nuevo,Guanajuato,10
MX11025,Purísima del Rincón,Guanajuato,18
MX11026,Romita,Guanajuato,18
MX11027,Salamanca,Guanajuato,67
MX11028,Salvatierra,Guanajuato,35
MX11029,San Diego de la Unión,Guanajuato,17
MX11030,San Felipe,Guanajuato,33
MX11031,San Francisco del Rincón,Guanajuato,36
MX11032,San José Iturbide,Guanajuato,23
MX11033,San Luis de la Paz,Guanajuato,41
MX11034,Santa Catarina,Guanajuato,4
MX11035,Santa Cruz de Juventino Rosas,Guanajuato,18
MX11036,Santiago Maravatío,Guanajuato,5
MX11037,Silao de la Victoria,Guanajuato,32
MX11038,Tarandacuao,Guanajuato,10
MX11039,Tarimoro,Guanajuato,16
MX11040,Tierra Blanca,Guanajuato,9
MX11041,Uriangato,Guanajuato,20
MX11042,Valle de Santiago,Guanajuato,35
MX11043,Victoria,Guanajuato,12
MX11044,Villagrán,Guanajuato,16
MX11045,Xichú,Guanajuato,13
MX11046,Yuriria,Guanajuato,27
MX12001,Acapulco de Juárez,Guerrero,292
MX12002,Ahuacuotzingo,Guerrero,16
MX12003,Ajuchitlán del Progreso,Guerrero,16
MX12004,Alcozauca de Guerrero,Guerrero,13
MX12005,Alpoyeca,Guerrero,4
MX12006,Apaxtla,Guerrero,5
MX12007,Arcelia,Guerrero,16
MX12008,Atenango del Río,Guerrero,7
MX12009,Atlamajalcingo del Monte,Guerrero,6
MX12010,Atlixtac,Guerrero,14
MX12011,Atoyac de Álvarez,Guerrero,34
MX12012,Ayutla de los Libres,Guerrero,22
MX12013,Azoyú,Guerrero,7
MX12014,Benito Juárez,Guerrero,9
